date_out,destination,price
2016-04-08,BLQ,400
2016-04-15,BLQ,388
2016-04-22,BLQ,519
2016-04-29,BLQ,389
2016-05-06,BLQ,471
2016-05-13,BLQ,441
2016-05-20,BLQ,388
2016-05-27,BLQ,468
2016-06-03,BLQ,453
2016-06-10,BLQ,332
2016-06-17,BLQ,343
2016-06-24,BLQ,367
2016-07-01,BLQ,487
2016-07-08,BLQ,377
2016-07-15,BLQ,423
2016-07-22,BLQ,447
2016-07-29,BLQ,505
2016-08-05,BLQ,352
2016-08-12,BLQ,359
2016-04-01,VCE,366
2016-04-08,VCE,359
2016-04-15,VCE,327
2016-04-22,VCE,340
2016-04-29,VCE,444
2016-05-06,VCE,669
2016-05-13,VCE,384
2016-05-20,VCE,286
2016-05-27,VCE,454
2016-06-03,VCE,392
2016-06-10,VCE,329
2016-06-17,VCE,377
2016-06-24,VCE,313
2016-07-01,VCE,370
2016-07-08,VCE,365
2016-07-15,VCE,347
2016-07-22,VCE,356
2016-07-29,VCE,381
2016-08-05,VCE,371
2016-08-12,VCE,356
2016-04-01,FCO,331
2016-04-08,FCO,324
2016-04-15,FCO,294
2016-04-22,FCO,338
2016-04-29,FCO,392
2016-05-06,FCO,392
2016-05-13,FCO,295
2016-05-20,FCO,224
2016-05-27,FCO,393
2016-06-03,FCO,322
2016-06-10,FCO,259
2016-06-17,FCO,284
2016-06-24,FCO,328
2016-07-01,FCO,333
2016-07-08,FCO,310
2016-07-15,FCO,368
2016-07-22,FCO,323
2016-07-29,FCO,388
2016-08-05,FCO,362
2016-08-12,FCO,361
2016-04-01,PRG,378
2016-04-08,PRG,413
2016-04-15,PRG,449
2016-04-22,PRG,378
2016-04-29,PRG,448
2016-05-06,PRG,378
2016-05-13,PRG,378
2016-05-20,PRG,378
2016-05-27,PRG,420
2016-06-03,PRG,413
2016-06-10,PRG,362
2016-06-17,PRG,329
2016-06-24,PRG,362
2016-07-01,PRG,357
2016-07-08,PRG,329
2016-07-15,PRG,367
2016-07-22,PRG,329
2016-07-29,PRG,373
2016-08-05,PRG,329
2016-08-12,PRG,361
2016-04-01,LIS,1335
2016-04-08,LIS,1255
2016-04-15,LIS,1255
2016-04-22,LIS,1212
2016-04-29,LIS,1293
2016-05-13,LIS,1240
2016-05-20,LIS,1252
2016-05-27,LIS,1307
2016-06-03,LIS,1385
2016-06-10,LIS,1255
2016-06-17,LIS,1212
2016-06-24,LIS,1264
2016-07-01,LIS,1284
2016-07-08,LIS,1307
2016-07-15,LIS,1298
2016-07-22,LIS,1335
2016-07-29,LIS,1313
2016-08-05,LIS,1308
2016-08-12,LIS,1284
2016-04-01,GVA,553
2016-04-08,GVA,359
2016-04-15,GVA,261
2016-04-22,GVA,360
2016-04-29,GVA,246
2016-05-06,GVA,224
2016-05-13,GVA,224
2016-05-20,GVA,231
2016-05-27,GVA,226
2016-06-03,GVA,267
2016-06-10,GVA,231
2016-06-17,GVA,239
2016-06-24,GVA,270
2016-07-01,GVA,302
2016-07-08,GVA,287
2016-07-15,GVA,272
2016-07-22,GVA,289
2016-07-29,GVA,272
2016-08-05,GVA,274
2016-08-12,GVA,274
2016-04-01,ZRH,383
2016-04-08,ZRH,352
2016-04-15,ZRH,315
2016-04-22,ZRH,333
2016-04-29,ZRH,329
2016-05-06,ZRH,310
2016-05-13,ZRH,312
2016-05-20,ZRH,291
2016-05-27,ZRH,298
